x,y,z,deltaT
0.344,8.042,5.656,0
0.483,7.783,5.722,5
0.564,7.664,5.779,5
0.575,7.661,5.822,5
0.606,7.705,5.86,5
0.891,7.827,5.731,5
1.14,7.872,5.576,5
1.121,7.765,5.3,5
0.971,7.612,4.994,5
0.85,7.49,4.688,5
0.912,7.452,4.247,5
0.982,7.538,3.82,5
0.867,7.611,3.34,5
0.777,7.753,2.745,5
0.766,7.929,2.145,5
0.667,8.065,1.727,5
0.472,8.121,1.832,5
0.418,8.105,2.378,5
0.521,8.178,3.172,5
0.592,8.135,3.98,5
0.713,8.026,4.414,5
0.835,8.023,4.729,5
1.005,8.071,4.851,5
1.41,7.98,4.657,5
1.623,7.8,4.639,5
1.667,7.717,4.311,5
1.774,7.636,4.444,5
1.994,7.612,4.713,5
2.1,7.651,5.069,5
2.107,7.741,5.344,6
2.085,7.827,5.227,5
1.974,8.048,4.787,5
1.687,8.315,4.371,5
1.232,8.589,4.163,5
0.846,8.846,3.872,5
0.699,9.012,3.571,5
0.651,9.116,3.309,5
0.655,9.08,3.174,5
0.456,9.326,3.16,5
0.43,9.522,3.079,5
0.962,8.947,3.287,5
1.425,8.4,3.689,5
2.012,7.877,4.362,5
2.51,7.502,5.084,5
2.647,7.427,5.949,5
2.229,7.421,6.866,5
1.585,7.533,7.536,5
0.884,7.623,8.07,5
0.265,7.636,8.339,5
-0.099,7.623,8.507,5
-0.221,7.54,8.358,5
-0.013,7.603,7.986,5
0.621,7.977,7.432,5
1.265,8.224,6.947,5
1.691,8.2,6.436,5
1.786,7.92,6.039,5
1.8,7.68,5.775,5
1.741,7.589,5.54,6
1.606,7.645,5.173,5
1.49,7.73,4.784,5
1.108,7.818,4.627,5
0.687,7.884,4.601,5
0.377,8.003,4.506,5
0.166,8.157,4.353,5
-0.054,8.288,4.226,5
-0.298,8.404,4.195,5
-0.386,8.465,4.138,5
-0.478,8.485,4.04,5
-0.558,8.534,3.942,5
-0.575,8.647,3.937,5
-0.645,8.849,3.772,5
-0.862,9.08,3.615,5
-1.022,9.223,3.681,5
-0.91,9.422,3.811,5
-0.74,9.502,3.828,5
-0.667,9.359,3.958,5
-0.444,9.346,4.377,5
0.023,9.237,4.591,5
0.416,9.046,5.018,5
0.801,8.888,5.483,5
1.149,8.851,5.503,5
1.109,8.867,6.034,5
0.916,8.817,6.765,5
1.202,8.639,7.965,5
0.902,8.703,8.398,5
-0.473,9.029,7.354,6
-1.443,9.012,7.053,5
-2.483,9.325,6.877,5
-3.031,9.638,6.843,5
-3.112,9.987,6.877,5
-2.981,10.093,6.895,5
-2.595,10.121,6.855,5
-2.03,10.283,6.797,5
-0.727,10.697,6.457,5
0.392,11.12,5.954,5
1.075,11.452,5.677,5
1.471,11.902,5.561,5
1.597,12.14,5.565,5
0.219,11.158,5.596,5
-1.342,9.998,5.978,5
-1.929,9.307,5.799,5
-1.842,9.263,5.609,5
-1.34,9.845,5.453,5
-1.232,10.261,5.178,5
-1.587,10.306,5.045,5
-2.023,10.089,5,5
-2.228,9.906,5.242,5
-2.187,9.826,5.548,5
-2.049,9.706,5.821,5
-1.968,9.381,6.053,5
-1.639,9.044,6.085,5
-1.23,8.759,6.028,5
-0.718,8.515,6.011,5
-0.157,8.264,5.95,6
0.383,7.903,5.855,5
0.809,7.427,5.67,5
1.548,7.171,5.414,5
2.194,7.126,5.085,5
2.507,7.155,4.81,5
2.581,6.916,4.77,5
2.631,6.782,4.928,5
2.854,6.843,5.129,5
2.832,6.901,5.232,5
2.979,6.933,4.84,5
2.842,6.878,4.027,5
2.444,6.933,3.807,5
2.298,7.055,3.714,5
2.26,7.104,3.586,5
2.33,7.001,3.533,5
2.451,6.79,3.686,5
2.558,6.712,3.959,5
2.564,6.627,4.32,5
2.46,6.652,4.669,5
2.315,6.688,4.928,5
2.178,6.72,5.081,5
2.134,6.761,5.14,5
2.302,6.737,5.313,5
2.563,6.598,5.128,5
2.623,6.459,4.635,5
2.558,6.335,4.221,5
2.48,6.349,3.772,5
2.417,6.483,3.32,5
2.274,6.551,2.955,6
2.171,6.607,2.637,5
2.168,6.719,2.287,5
2.2,6.758,1.678,5
2.049,6.7,1.204,5
1.894,6.66,1.212,5
1.839,6.587,1.432,5
1.969,6.513,1.661,5
2.227,6.469,1.704,5
2.321,6.405,1.859,5
2.44,6.283,2.002,5
2.575,6.145,2.068,5
2.714,6.09,2.029,5
2.727,6.017,1.895,5
2.636,5.995,1.858,5
2.601,5.937,1.855,5
2.706,5.921,1.838,5
2.806,5.872,1.852,5
2.966,5.823,1.802,5
3.026,5.841,1.728,5
2.887,5.841,1.645,5
2.739,5.903,1.425,5
2.698,5.875,0.935,5
2.547,5.815,0.711,5
2.158,5.827,1.024,5
2.049,5.945,1.409,5
2.091,6.203,1.767,5
1.985,6.463,2.275,5
2.022,6.665,2.345,6
2.181,6.76,1.921,5
2.02,6.775,1.497,5
1.806,6.761,1.141,5
1.728,6.853,0.845,5
1.734,7.004,0.712,5
1.846,7.171,0.794,5
1.846,7.245,0.978,5
1.769,7.276,1.26,5
1.712,7.278,1.46,5
1.778,7.26,1.726,5
1.834,7.268,2.015,5
1.78,7.355,2.301,5
1.559,7.491,2.847,5
1.274,7.599,3.464,5
0.935,7.721,4.28,5
0.697,7.879,5.093,5
0.544,7.977,5.749,5
0.385,8.087,6.212,5
0.257,8.156,6.566,5
0.294,8.185,6.707,5
0.299,8.225,6.749,5
0.212,8.278,6.794,5
0.171,8.313,6.7,5
0.049,8.378,6.405,5
-0.04,8.457,6.057,5
-0.105,8.481,5.716,5
-0.178,8.589,5.457,5
-0.288,8.686,5.235,6
-0.433,8.784,5.228,5
-0.494,8.81,5.445,5
-0.389,8.829,5.651,5
-0.298,8.811,5.754,5
-0.205,8.791,5.755,5
-0.111,8.754,5.57,5
0.025,8.813,5.392,5
0.017,8.9,5.27,5
-0.111,8.957,5.213,5
-0.146,9.051,5.173,5
-0.072,9.158,5.206,5
0.013,9.219,5.293,5
0.075,9.268,5.397,5
0.172,9.323,5.627,5
0.182,9.317,5.944,5
0.162,9.298,6.261,5
0.113,9.307,6.556,5
0.04,9.295,6.721,5
-0.1,9.319,6.75,5
-0.32,9.36,6.676,5
-0.583,9.373,6.625,5
-0.853,9.469,6.6,5
-1.123,9.551,6.653,5
-1.459,9.648,6.684,5
-1.769,9.685,6.779,5
-1.972,9.777,7.047,5
-1.995,9.855,7.301,5
-1.97,9.9,7.497,6
-1.946,9.845,7.735,5
-1.972,9.795,7.936,5
-1.905,9.72,7.968,5
-1.819,9.694,7.94,5
-1.835,9.726,7.835,5
-1.897,9.802,7.664,5
-2.043,9.881,7.439,5
-2.196,9.973,7.252,5
-2.298,10.017,7.048,5
-2.4,9.987,6.857,5
-2.37,9.939,6.621,5
-2.273,9.896,6.45,5
-2.175,9.81,6.217,5
-2.01,9.67,6.014,5
-1.846,9.51,5.908,5
-1.739,9.297,6.014,5
-1.577,9.151,6.184,5
-1.475,9.06,6.468,5
-1.546,8.997,6.684,5
-1.619,9.003,6.802,5
-1.738,8.99,6.872,5
-1.864,9.018,6.776,5
-1.979,8.983,6.663,5
-2.029,8.983,6.432,5
-2.012,9.016,6.138,5
-1.944,8.96,5.852,5
-1.854,8.928,5.494,5
-1.678,8.879,5.187,5
-1.421,8.793,4.964,6
-1.243,8.829,4.802,5
-1.059,8.809,4.711,5
-0.888,8.776,4.616,5
-0.755,8.758,4.576,5
-0.623,8.817,4.545,5
-0.549,8.878,4.472,5
-0.535,8.958,4.392,5
-0.522,9.069,4.162,5
-0.476,9.151,3.778,5
-0.608,9.193,3.545,5
-0.784,9.212,3.486,5
-0.759,9.251,3.708,5
-0.689,9.282,3.895,5
-0.735,9.308,4.093,5
-0.906,9.265,4.287,5
-0.976,9.185,4.546,5
-0.903,9.051,4.863,5
-0.738,8.967,5.188,5
-0.716,8.895,5.51,5
-0.696,8.831,5.694,5
-0.755,8.782,5.718,5
-0.804,8.733,5.533,5
-0.94,8.69,5.204,5
-1.006,8.655,4.86,5
-1.03,8.686,4.543,5
-1.033,8.697,4.274,5
-1.048,8.707,4.05,5
-1.084,8.708,3.795,6
-1.055,8.732,3.487,5
-1.11,8.707,3.271,5
-1.074,8.649,3.17,5
-0.99,8.59,3.117,5
-0.919,8.539,3.064,5
-0.938,8.41,3.098,5
-0.916,8.315,3.223,5
-0.899,8.194,3.304,5
-0.828,8.078,3.307,5
-0.667,8.014,3.256,5
-0.561,7.942,3.269,5
-0.608,7.947,3.257,5
-0.651,7.891,3.263,5
-0.773,7.882,3.19,5
-0.852,7.857,3.175,5
-0.94,7.834,3.237,5
-1.026,7.847,3.279,5
-1.097,7.822,3.31,5
-1.195,7.814,3.196,5
-1.244,7.768,3.028,5
-1.236,7.688,2.827,5
-1.212,7.629,2.545,5
-1.133,7.605,2.289,5
-1.01,7.65,1.94,5
-0.966,7.69,1.705,5
-0.879,7.714,1.617,5
-0.803,7.683,1.651,5
-0.79,7.732,1.797,6
-0.815,7.752,1.994,5
-0.839,7.809,2.099,5
-0.91,7.852,2.237,5
-0.976,7.845,2.392,5
-0.937,7.807,2.549,5
-0.863,7.777,2.696,5
-0.809,7.799,2.866,5
-0.746,7.824,2.969,5
-0.697,7.833,2.954,5
-0.612,7.833,2.811,5
-0.587,7.852,2.694,5
-0.535,7.879,2.547,5
-0.552,7.888,2.425,5
-0.544,7.902,2.378,5
-0.601,7.975,2.418,5
-0.639,7.987,2.438,5
-0.613,7.987,2.432,5
-0.659,8.025,2.441,5
-0.708,8.035,2.49,5
-0.727,8.089,2.539,5
-0.722,8.086,2.562,5
-0.618,8.14,2.471,5
-0.485,8.117,2.444,5
-0.389,8.068,2.468,5
-0.338,8.044,2.528,5
-0.314,8.044,2.536,5
-0.257,8.044,2.453,5
-0.285,8.063,2.338,6
-0.344,8.011,2.279,5
-0.452,8.035,2.299,5
-0.512,8.075,2.348,5
-0.577,8.084,2.27,5
-0.619,8.088,2.151,5
-0.583,8.075,2.09,5
-0.452,8.065,2.051,5
-0.37,8.022,2.052,5
-0.272,7.997,2.085,5
-0.147,7.959,2.134,5
-0.02,7.911,2.183,5
0.107,7.828,2.202,5
0.202,7.824,2.172,5
0.211,7.833,2.052,5
0.187,7.811,2.022,5
0.134,7.755,1.927,5
0.122,7.743,1.891,5
0.115,7.757,1.842,5
0.131,7.76,1.88,5
0.124,7.785,1.887,5
0.12,7.809,1.919,5
0.134,7.833,1.877,5
0.148,7.847,1.863,5
