x,y,z,dt
-0.842,-9.806,-0.708,9
-0.785,-9.787,-0.679,10
-0.727,-9.835,-0.679,10
-0.699,-9.816,-0.775,10
-0.708,-9.854,-0.814,9
-0.708,-9.854,-0.775,10
-0.699,-9.864,-0.756,10
-0.708,-9.892,-0.718,10
-0.718,-9.873,-0.689,10
-0.756,-9.844,-0.708,9
-0.766,-9.835,-0.689,10
-0.746,-9.797,-0.737,10
-0.775,-9.835,-0.785,10
-0.756,-9.854,-0.756,9
-0.727,-9.854,-0.785,10
-0.746,-9.806,-0.756,10
-0.804,-9.892,-0.756,10
-0.861,-9.911,-0.756,9
-0.814,-10.026,-0.593,10
-0.852,-9.816,-0.622,10
-0.814,-9.557,-1.043,10
-0.814,-9.701,-0.756,10
-0.775,-9.768,-0.641,9
-0.775,-9.768,-0.641,10
-0.727,-9.902,-0.603,10
-0.833,-9.94,-0.679,10
-0.746,-10.151,-0.411,9
-0.852,-9.825,-0.9,10
-0.967,-9.615,-0.881,10
-0.967,-9.777,-0.478,10
-0.909,-9.864,-0.497,9
-0.833,-9.988,-0.43,10
-0.89,-9.95,-0.785,10
-0.919,-9.643,-1.177,10
-0.9,-9.72,-0.842,9
-0.766,-9.691,-0.612,10
-0.612,-9.739,-0.603,10
-0.612,-9.758,-0.67,10
-0.66,-9.768,-0.708,10
-0.641,-9.921,-0.526,9
-0.727,-9.777,-0.976,10
-0.727,-9.672,-1.091,10
-0.775,-9.691,-0.708,10
-0.708,-9.768,-0.641,9
-0.699,-9.873,-0.737,10
-0.746,-9.902,-0.823,10
-0.871,-9.854,-0.871,10
-0.842,-9.777,-0.756,9
-0.785,-9.73,-0.756,10
-0.794,-9.797,-0.89,10
-0.814,-9.921,-0.861,10
-0.756,-9.94,-0.785,9
-0.632,-9.854,-0.737,10
-0.584,-9.806,-0.928,10
-0.517,-9.854,-0.861,10
-0.478,-9.931,-0.842,10
-0.536,-9.624,-1.177,9
-0.507,-9.662,-0.89,10
-0.488,-9.672,-0.833,10
-0.363,-9.72,-0.737,10
-0.411,-9.777,-1.034,9
-0.497,-9.873,-1.101,10
-0.545,-9.854,-0.986,10
-0.497,-9.797,-0.833,10
-0.392,-9.758,-0.852,10
-0.469,-9.749,-0.976,9
-0.478,-9.854,-0.976,10
-0.565,-9.988,-0.919,10
-0.622,-9.844,-0.986,9
-0.574,-9.71,-1.063,10
-0.507,-9.643,-0.995,10
-0.44,-9.73,-0.928,10
-0.459,-9.902,-0.957,10
-0.536,-9.835,-0.957,9
-0.584,-9.797,-0.842,10
-0.497,-9.787,-0.804,10
-0.488,-9.758,-0.814,10
-0.555,-9.768,-0.948,9
-0.689,-9.787,-0.881,10
-0.746,-9.844,-0.9,10
-0.746,-9.854,-0.938,10
-0.746,-9.854,-0.938,9
-0.699,-9.797,-0.833,10
-0.641,-9.777,-0.861,10
-0.593,-9.816,-0.976,10
-0.603,-9.787,-0.967,9
-0.584,-9.787,-0.928,10
-0.507,-9.835,-0.938,10
-0.459,-9.854,-1.043,10
-0.43,-9.797,-1.024,10
-0.45,-9.758,-1.072,9
-0.45,-9.816,-0.986,10
-0.507,-9.854,-0.919,10
-0.536,-9.844,-1.005,10
-0.526,-9.797,-1.024,9
-0.536,-9.749,-1.063,10
-0.545,-9.768,-0.995,10
-0.488,-9.777,-1.005,10
-0.469,-9.787,-1.034,9
-0.507,-9.739,-1.091,10
-0.584,-9.758,-1.244,10
-0.584,-9.787,-1.177,10
-0.469,-9.806,-1.005,10
-0.43,-9.835,-0.995,9
-0.565,-9.787,-1.091,10
-0.699,-9.768,-1.005,10
-0.699,-9.73,-0.948,10
-0.641,-9.691,-1.082,9
-0.565,-9.71,-1.139,10
-0.565,-9.787,-1.139,10
-0.526,-9.864,-1.13,10
-0.526,-9.864,-1.158,9
-0.507,-9.768,-1.168,10
-0.402,-9.739,-1.12,10
-0.325,-9.71,-1.149,10
-0.421,-9.691,-1.446,9
-0.373,-9.787,-1.168,10
-0.363,-9.797,-1.11,10
-0.402,-9.864,-1.091,10
-0.459,-9.864,-0.976,10
-0.507,-9.825,-1.101,9
-0.612,-9.816,-1.13,10
-0.565,-9.768,-1.101,10
-0.545,-9.854,-1.024,10
-0.545,-9.816,-1.197,9
-0.526,-9.777,-1.216,10
-0.545,-9.634,-1.072,10
-0.411,-9.634,-1.13,10
-0.277,-9.653,-1.254,9
-0.268,-9.701,-1.34,10
-0.306,-9.701,-1.244,10
-0.363,-9.672,-1.168,10
-0.421,-9.672,-1.12,10
-0.45,-9.777,-1.13,9
-0.507,-9.806,-1.197,10
-0.536,-9.825,-1.149,10
-0.574,-9.797,-1.101,10
-0.574,-9.787,-1.13,9
-0.545,-9.797,-1.139,10
-0.545,-9.797,-1.139,10
-0.536,-9.806,-1.168,10
-0.478,-9.806,-1.12,9
-0.488,-9.864,-1.072,10
-0.526,-9.854,-1.12,10
-0.478,-9.787,-1.177,10
-0.411,-9.73,-1.177,9
-0.45,-9.768,-1.139,10
-0.497,-9.806,-1.13,10
-0.593,-9.883,-1.072,10
-0.727,-9.816,-1.331,9
-0.584,-9.72,-1.273,10
-0.478,-9.72,-1.177,10
-0.411,-9.768,-1.13,10
-0.411,-9.806,-1.13,10
-0.392,-9.787,-1.149,9
-0.373,-9.739,-1.13,10
-0.296,-9.73,-1.082,10
-0.268,-9.739,-1.139,10
-0.296,-9.72,-1.177,9
-0.296,-9.758,-1.13,10
-0.296,-9.787,-1.13,10
-0.22,-9.749,-1.091,10
-0.22,-9.739,-1.13,9
-0.229,-9.797,-1.168,10
-0.21,-9.835,-1.091,10
-0.277,-9.883,-1.177,10
-0.325,-9.844,-1.13,10
-0.344,-9.797,-1.13,9
-0.325,-9.835,-1.015,10
-0.411,-9.797,-1.321,10
-0.383,-9.787,-1.139,10
-0.306,-9.979,-1.063,9
-0.287,-9.844,-1.187,10
-0.296,-9.701,-1.206,10
-0.277,-9.701,-1.072,10
-0.287,-9.72,-1.082,9
-0.325,-9.749,-1.187,10
-0.325,-9.806,-1.11,10
-0.306,-9.854,-1.063,10
-0.316,-9.873,-1.063,9
-0.411,-9.844,-1.12,10
-0.45,-9.758,-1.197,10
-0.488,-9.844,-1.063,10
-0.459,-9.911,-1.13,10
-0.507,-9.806,-1.158,9
-0.45,-9.892,-1.101,10
-0.478,-9.806,-1.13,10
-0.469,-9.797,-1.11,10
-0.574,-9.825,-1.082,9
-0.612,-9.825,-1.139,10
-0.565,-9.797,-1.244,10
-0.459,-9.806,-1.302,10
-0.421,-9.806,-1.321,9
-0.488,-9.854,-1.283,10
-0.43,-9.883,-1.101,10
-0.287,-9.806,-1.149,10
-0.325,-9.777,-1.407,9
-0.258,-9.777,-1.379,10
-0.258,-9.749,-1.379,10
-0.248,-9.777,-1.254,10
-0.172,-9.691,-1.158,10
-0.143,-9.634,-1.177,9
-0.181,-9.576,-1.321,10
-0.181,-9.595,-1.426,10
-0.248,-9.682,-1.302,10
-0.306,-9.701,-1.321,9
-0.344,-9.749,-1.331,10
-0.296,-9.758,-1.235,10
-0.258,-9.662,-1.369,10
-0.277,-9.691,-1.484,10
-0.258,-9.777,-1.379,9
-0.201,-9.816,-1.244,10
-0.277,-9.749,-1.273,10
-0.316,-9.72,-1.312,9
-0.306,-9.653,-1.359,10
-0.239,-9.672,-1.426,10
-0.162,-9.749,-1.369,10
-0.248,-9.777,-1.321,10
-0.239,-9.739,-1.35,9
-0.191,-9.624,-1.417,10
-0.105,-9.701,-1.302,10
-0.067,-9.643,-1.551,10
-0.21,-9.777,-1.417,9
-0.095,-9.71,-1.379,10
-0.086,-9.71,-1.493,10
-0.047,-9.691,-1.455,10
-0.076,-9.758,-1.493,10
-0.067,-9.758,-1.446,9
-0.057,-9.758,-1.359,10
-0.019,-9.624,-1.561,10
0.019,-9.624,-1.474,10
0.057,-9.71,-1.465,9
0.114,-9.806,-1.484,10
0.009,-9.682,-1.618,10
0.076,-9.634,-1.484,10
0.086,-9.701,-1.379,9
0.009,-9.71,-1.522,10
-0.114,-9.768,-1.589,10
-0.143,-9.749,-1.379,10
-0.143,-9.739,-1.302,10
-0.086,-9.672,-1.551,9
-0.191,-9.682,-1.417,10
-0.134,-9.71,-1.417,10
-0.134,-9.662,-1.541,9
-0.201,-9.701,-1.446,10
-0.287,-9.691,-1.388,10
-0.306,-9.682,-1.407,10
-0.354,-9.758,-1.455,10
-0.383,-9.758,-1.34,9
-0.402,-9.691,-1.532,10
-0.43,-9.749,-1.426,10
-0.383,-9.739,-1.426,10
-0.325,-9.73,-1.407,9
-0.277,-9.739,-1.398,10
-0.335,-9.691,-1.503,10
-0.344,-9.71,-1.34,10
-0.344,-9.71,-1.34,9
-0.335,-9.768,-1.417,10
-0.277,-9.797,-1.436,10
-0.229,-9.758,-1.398,10
-0.229,-9.739,-1.426,9
-0.22,-9.73,-1.426,10
-0.22,-9.768,-1.426,10
-0.229,-9.749,-1.465,10
-0.22,-9.739,-1.493,10
-0.162,-9.701,-1.493,9
-0.105,-9.691,-1.446,10
-0.134,-9.739,-1.398,10
-0.201,-9.72,-1.426,10
-0.239,-9.72,-1.446,9
-0.239,-9.701,-1.446,10
-0.229,-9.71,-1.465,10
-0.153,-9.72,-1.484,10
-0.191,-9.73,-1.426,9
-0.239,-9.749,-1.474,10
-0.162,-9.739,-1.484,10
-0.181,-9.72,-1.474,10
-0.172,-9.71,-1.493,9
-0.181,-9.71,-1.455,10
-0.153,-9.749,-1.493,10
-0.172,-9.739,-1.436,10
-0.181,-9.758,-1.474,10
-0.153,-9.739,-1.465,9
-0.124,-9.691,-1.426,10
-0.105,-9.653,-1.474,10
-0.105,-9.71,-1.474,10
-0.143,-9.739,-1.398,9
-0.162,-9.72,-1.455,10
-0.134,-9.691,-1.426,10
-0.124,-9.682,-1.407,10
-0.162,-9.72,-1.379,10
-0.191,-9.739,-1.35,9
-0.172,-9.758,-1.398,10
-0.153,-9.768,-1.35,10
-0.181,-9.758,-1.321,9
-0.181,-9.73,-1.34,10
-0.181,-9.739,-1.34,10
-0.191,-9.739,-1.331,10
-0.21,-9.777,-1.321,10
-0.201,-9.777,-1.35,9
-0.181,-9.758,-1.359,10
-0.191,-9.739,-1.35,10
-0.143,-9.749,-1.359,10
-0.191,-9.749,-1.312,9
-0.153,-9.739,-1.369,10
-0.134,-9.758,-1.359,10
-0.248,-9.758,-1.35,10
-0.268,-9.777,-1.369,9
-0.239,-9.749,-1.331,10
-0.277,-9.758,-1.321,10
-0.248,-9.73,-1.379,10
-0.229,-9.758,-1.35,9
-0.229,-9.797,-1.34,10
-0.239,-9.787,-1.34,10
-0.277,-9.787,-1.34,10
-0.277,-9.758,-1.34,10
-0.277,-9.72,-1.34,9
-0.229,-9.701,-1.369,10
-0.287,-9.739,-1.35,10
-0.287,-9.777,-1.359,10
-0.287,-9.797,-1.369,9
-0.316,-9.806,-1.34,10
-0.268,-9.758,-1.379,10
-0.229,-9.758,-1.369,10
-0.239,-9.777,-1.34,9
-0.268,-9.768,-1.35,10
-0.22,-9.749,-1.407,10
-0.153,-9.701,-1.398,10
-0.134,-9.653,-1.455,10
-0.143,-9.701,-1.398,9
-0.105,-9.739,-1.359,10
-0.047,-9.73,-1.302,10
-0.057,-9.758,-1.312,10
-0.067,-9.768,-1.292,9
-0.114,-9.777,-1.292,10
-0.172,-9.797,-1.302,10
-0.229,-9.825,-1.225,10
-0.21,-9.768,-1.216,10
-0.22,-9.758,-1.225,9
-0.22,-9.768,-1.216,10
-0.201,-9.749,-1.235,10
-0.229,-9.777,-1.216,9
-0.258,-9.777,-1.225,10
-0.258,-9.777,-1.235,10
-0.22,-9.758,-1.273,10
-0.229,-9.758,-1.225,10
-0.248,-9.777,-1.216,9
-0.296,-9.739,-1.283,11
-0.335,-9.691,-1.34,9
-0.277,-9.72,-1.369,10
-0.229,-9.739,-1.398,9
-0.258,-9.749,-1.359,10
-0.258,-9.806,-1.417,10
-0.239,-9.777,-1.417,10
-0.21,-9.758,-1.436,10
-0.162,-9.701,-1.426,9
-0.172,-9.739,-1.426,10
-0.239,-9.825,-1.398,10
-0.229,-9.787,-1.455,9
-0.21,-9.71,-1.417,10
-0.22,-9.71,-1.359,10
-0.229,-9.73,-1.321,10
-0.287,-9.797,-1.244,10
-0.316,-9.777,-1.216,9
-0.306,-9.749,-1.244,10
-0.316,-9.758,-1.244,10
-0.335,-9.749,-1.254,10
-0.325,-9.73,-1.225,9
-0.287,-9.739,-1.235,10
-0.287,-9.787,-1.273,10
-0.248,-9.806,-1.244,10
-0.287,-9.787,-1.216,9
-0.296,-9.835,-1.216,10
-0.296,-9.835,-1.216,10
-0.296,-9.825,-1.177,10
-0.325,-9.816,-1.139,9
-0.335,-9.797,-1.168,10
-0.296,-9.797,-1.235,10
-0.258,-9.787,-1.273,10
-0.229,-9.797,-1.321,10
-0.172,-9.768,-1.34,9
-0.067,-9.73,-1.331,10
-0.028,-9.71,-1.35,10
-0.067,-9.71,-1.34,10
-0.067,-9.72,-1.407,9
-0.153,-9.749,-1.331,10
-0.162,-9.73,-1.264,10
-0.124,-9.72,-1.283,10
-0.114,-9.701,-1.312,9
-0.105,-9.701,-1.369,10
-0.124,-9.73,-1.398,10
-0.153,-9.749,-1.398,10
-0.191,-9.806,-1.34,10
-0.201,-9.787,-1.35,9
-0.248,-9.768,-1.264,10
-0.287,-9.787,-1.273,10
-0.335,-9.768,-1.225,10
-0.392,-9.835,-1.235,9
-0.335,-9.844,-1.312,10
-0.296,-9.797,-1.264,10
-0.21,-9.701,-1.302,10
-0.22,-9.691,-1.264,9
-0.162,-9.72,-1.292,10
-0.134,-9.777,-1.302,10
-0.201,-9.787,-1.292,10
-0.22,-9.749,-1.264,9
-0.248,-9.72,-1.225,10
-0.287,-9.71,-1.206,10
-0.335,-9.73,-1.216,10
-0.306,-9.768,-1.225,9
-0.258,-9.816,-1.283,10
-0.239,-9.854,-1.292,10
-0.239,-9.816,-1.264,10
-0.22,-9.73,-1.254,10
-0.172,-9.672,-1.331,9
-0.153,-9.701,-1.35,10
-0.181,-9.701,-1.321,10
-0.22,-9.71,-1.302,10
-0.306,-9.768,-1.321,9
-0.287,-9.806,-1.388,10
-0.277,-9.806,-1.379,10
-0.325,-9.825,-1.321,10
-0.392,-9.806,-1.244,9
-0.478,-9.768,-1.235,10
-0.536,-9.758,-1.206,10
-0.497,-9.816,-1.206,10
-0.392,-9.873,-1.283,10
-0.344,-9.835,-1.302,9
-0.248,-9.739,-1.302,10
-0.172,-9.682,-1.283,10
-0.086,-9.653,-1.321,10
-0.086,-9.653,-1.321,9
-0.028,-9.701,-1.34,10
-0.009,-9.758,-1.34,10
-0.038,-9.844,-1.331,10
-0.105,-9.844,-1.35,10
-0.181,-9.825,-1.254,9
-0.287,-9.844,-1.187,10
-0.344,-9.835,-1.12,10
-0.363,-9.892,-1.053,9
-0.344,-9.969,-0.967,10
-0.421,-10.046,-0.833,10
-0.488,-9.969,-0.689,10
-0.555,-9.797,-0.632,10
-0.641,-9.653,-0.727,9
-0.718,-9.595,-0.89,10
-0.718,-9.701,-1.034,10
-0.67,-9.825,-1.149,10
-0.66,-9.911,-1.254,9
-0.584,-9.816,-1.292,10
-0.44,-9.691,-1.369,10
-0.239,-9.643,-1.455,10
0.038,-9.643,-1.551,9
0.229,-9.672,-1.541,10
0.344,-9.682,-1.58,10
0.335,-9.701,-1.637,10
0.306,-9.72,-1.608,9
0.296,-9.749,-1.628,10
0.268,-9.806,-1.541,10
0.21,-9.825,-1.522,10
0.124,-9.806,-1.474,10
0.0,-9.758,-1.398,9
-0.153,-9.71,-1.321,10
-0.296,-9.749,-1.254,10
-0.411,-9.758,-1.206,10
-0.507,-9.768,-1.216,9
-0.488,-9.72,-1.283,10
-0.488,-9.691,-1.235,10
-0.459,-9.739,-1.177,10
-0.459,-9.787,-1.197,9
-0.43,-9.768,-1.206,10
-0.344,-9.73,-1.283,10
-0.306,-9.768,-1.359,10
-0.248,-9.758,-1.35,10
-0.201,-9.777,-1.35,9
-0.172,-9.768,-1.388,10
-0.153,-9.739,-1.388,10
-0.095,-9.701,-1.436,10
-0.047,-9.691,-1.455,9
-0.028,-9.71,-1.465,10
-0.009,-9.749,-1.493,10
-0.047,-9.768,-1.513,10
0.038,-9.749,-1.465,9
0.009,-9.73,-1.465,10
-0.038,-9.739,-1.436,10
-0.114,-9.682,-1.379,10
-0.143,-9.701,-1.369,9
-0.114,-9.749,-1.321,10
-0.124,-9.806,-1.359,10
-0.162,-9.816,-1.321,10
-0.162,-9.816,-1.321,10
-0.21,-9.797,-1.321,10
-0.229,-9.72,-1.273,9
-0.22,-9.71,-1.273,10
-0.22,-9.73,-1.321,10
-0.229,-9.787,-1.331,9
-0.229,-9.797,-1.292,10
-0.22,-9.749,-1.273,10
-0.229,-9.739,-1.235,10
-0.229,-9.758,-1.244,9
-0.287,-9.787,-1.235,10
-0.373,-9.777,-1.216,10
-0.354,-9.758,-1.235,10
-0.325,-9.739,-1.206,9
-0.316,-9.768,-1.206,10
-0.287,-9.806,-1.273,10
-0.287,-9.787,-1.264,10
-0.296,-9.758,-1.216,10
-0.277,-9.768,-1.273,9
-0.229,-9.739,-1.302,10
-0.229,-9.739,-1.321,10
-0.239,-9.768,-1.321,10
-0.22,-9.749,-1.321,9
-0.258,-9.768,-1.254,10
-0.268,-9.797,-1.292,10
-0.248,-9.797,-1.302,10
-0.258,-9.768,-1.264,9
-0.248,-9.787,-1.312,10
-0.239,-9.797,-1.283,10
-0.287,-9.825,-1.235,10
-0.306,-9.797,-1.206,9
-0.296,-9.768,-1.254,10
-0.277,-9.749,-1.321,10
-0.268,-9.758,-1.283,10
-0.258,-9.758,-1.331,10
-0.268,-9.749,-1.302,9
-0.239,-9.749,-1.312,10
-0.191,-9.739,-1.292,10
-0.21,-9.749,-1.235,10
-0.248,-9.806,-1.216,9
-0.258,-9.854,-1.197,10
-0.287,-9.816,-1.158,10
-0.296,-9.787,-1.206,10
-0.296,-9.758,-1.206,9
-0.287,-9.758,-1.206,10
-0.248,-9.777,-1.235,10
-0.258,-9.797,-1.254,10
-0.316,-9.797,-1.216,9
-0.335,-9.787,-1.206,10
-0.296,-9.73,-1.187,10
-0.277,-9.72,-1.244,10
-0.248,-9.73,-1.244,10
-0.239,-9.787,-1.254,9
-0.201,-9.797,-1.254,10
-0.22,-9.787,-1.273,10
-0.22,-9.73,-1.244,10
-0.22,-9.749,-1.302,9
-0.229,-9.768,-1.321,10
-0.248,-9.768,-1.321,10
-0.248,-9.777,-1.321,10
-0.22,-9.768,-1.321,9
-0.239,-9.758,-1.292,10
-0.258,-9.739,-1.283,10
-0.248,-9.739,-1.321,10
-0.21,-9.758,-1.379,10
-0.268,-9.777,-1.34,9
-0.277,-9.797,-1.283,10
-0.268,-9.787,-1.244,10
-0.277,-9.758,-1.273,10
-0.248,-9.73,-1.292,9
-0.248,-9.739,-1.273,10
-0.229,-9.739,-1.292,10
-0.21,-9.768,-1.264,10
-0.248,-9.806,-1.244,9
-0.268,-9.806,-1.225,10
-0.258,-9.806,-1.244,10
-0.268,-9.768,-1.197,10
-0.296,-9.758,-1.225,9
-0.287,-9.71,-1.273,10
-0.268,-9.72,-1.283,10
-0.258,-9.758,-1.244,10
-0.268,-9.816,-1.225,10
-0.248,-9.777,-1.292,9
-0.229,-9.787,-1.312,10
-0.239,-9.768,-1.302,10
-0.239,-9.758,-1.312,10
-0.258,-9.768,-1.225,9
-0.22,-9.749,-1.292,10
-0.191,-9.71,-1.312,10
-0.191,-9.749,-1.331,10
-0.181,-9.797,-1.359,9
-0.21,-9.787,-1.359,10
-0.21,-9.758,-1.321,10
-0.181,-9.72,-1.331,10
-0.22,-9.758,-1.369,9
-0.239,-9.758,-1.359,10
-0.296,-9.758,-1.369,10
-0.316,-9.72,-1.35,10
-0.277,-9.72,-1.369,10
-0.258,-9.768,-1.34,9
-0.306,-9.787,-1.292,10
-0.316,-9.797,-1.312,10
-0.335,-9.777,-1.292,10
-0.335,-9.749,-1.244,9
-0.344,-9.739,-1.216,10
-0.325,-9.777,-1.254,10
-0.306,-9.787,-1.216,10
-0.287,-9.777,-1.292,9
-0.268,-9.777,-1.292,10
-0.248,-9.777,-1.254,10
-0.181,-9.749,-1.302,10
-0.191,-9.749,-1.292,9
-0.191,-9.768,-1.312,10
-0.181,-9.758,-1.312,10
-0.172,-9.758,-1.34,10
-0.172,-9.739,-1.369,10
-0.124,-9.73,-1.369,9
-0.124,-9.73,-1.369,10
-0.134,-9.739,-1.35,10
-0.134,-9.749,-1.388,10
-0.162,-9.72,-1.34,9
-0.181,-9.749,-1.34,10
-0.181,-9.768,-1.398,10
-0.172,-9.768,-1.407,10
-0.239,-9.777,-1.359,9
-0.306,-9.787,-1.35,10
-0.316,-9.768,-1.321,10
-0.325,-9.768,-1.283,10
-0.354,-9.768,-1.321,10
-0.354,-9.73,-1.321,9
-0.325,-9.72,-1.312,10
-0.287,-9.73,-1.321,10
-0.248,-9.739,-1.321,10
